# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA,rRNA" "-g" "ID" "-a" "../data/reference_sequences/FQ312003.1.gff" "-o" "../data/rna_align/rRNA_tRNA_counttable.txt" "../data/rna_align/hash1_1_Jvpna21.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna22.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna30.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna31.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna32.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna33.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna34.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna36.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna37.fq.gz.bam" "../data/rna_align/hash1_1_w_o_control.fq.gz.bam" "../data/rna_align/hash1_2_JVpna100.fq.gz.bam" "../data/rna_align/hash1_2_JVpna101.fq.gz.bam" "../data/rna_align/hash1_2_JVpna102.fq.gz.bam" "../data/rna_align/hash1_2_JVpna29.fq.gz.bam" "../data/rna_align/hash1_2_JVpna35.fq.gz.bam" "../data/rna_align/hash1_2_JVpna99.fq.gz.bam" "../data/rna_align/hash1_2_w_o_control.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna21.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna22.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna30.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna31.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna32.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna33.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna34.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna36.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/hash1_1_Jvpna21.fq.gz.bam	../data/rna_align/hash1_1_Jvpna22.fq.gz.bam	../data/rna_align/hash1_1_Jvpna30.fq.gz.bam	../data/rna_align/hash1_1_Jvpna31.fq.gz.bam	../data/rna_align/hash1_1_Jvpna32.fq.gz.bam	../data/rna_align/hash1_1_Jvpna33.fq.gz.bam	../data/rna_align/hash1_1_Jvpna34.fq.gz.bam	../data/rna_align/hash1_1_Jvpna36.fq.gz.bam	../data/rna_align/hash1_1_Jvpna37.fq.gz.bam	../data/rna_align/hash1_1_w_o_control.fq.gz.bam	../data/rna_align/hash1_2_JVpna100.fq.gz.bam	../data/rna_align/hash1_2_JVpna101.fq.gz.bam	../data/rna_align/hash1_2_JVpna102.fq.gz.bam	../data/rna_align/hash1_2_JVpna29.fq.gz.bam	../data/rna_align/hash1_2_JVpna35.fq.gz.bam	../data/rna_align/hash1_2_JVpna99.fq.gz.bam	../data/rna_align/hash1_2_w_o_control.fq.gz.bam	../data/rna_align/hash2_1_Jvpna21.fq.gz.bam	../data/rna_align/hash2_1_Jvpna22.fq.gz.bam	../data/rna_align/hash2_1_Jvpna30.fq.gz.bam	../data/rna_align/hash2_1_Jvpna31.fq.gz.bam	../data/rna_align/hash2_1_Jvpna32.fq.gz.bam	../data/rna_align/hash2_1_Jvpna33.fq.gz.bam	../data/rna_align/hash2_1_Jvpna34.fq.gz.bam	../data/rna_align/hash2_1_Jvpna36.fq.gz.bam
rna-FQ312003.1:2992915..2992988	FQ312003.1	2992915	2992988	-	74	2736	2171	1836	3547	2257	2311	2015	2230	1811	3081	1419	1717	2081	2986	2580	1273	2827	2587	2868	1685	2324	2534	2250	2327	2035
rna-FQ312003.1:2993054..2993127	FQ312003.1	2993054	2993127	-	74	2571	1972	1844	3268	2282	2028	2015	2095	1983	2720	1388	1587	1735	2663	2266	1340	2526	2359	2523	1654	2141	2328	2133	2158	1887
rna-FQ312003.1:2993134..2993223	FQ312003.1	2993134	2993223	-	90	7340	6164	5630	11602	6474	6748	6016	7406	5817	8503	3522	4555	5453	8258	7139	3883	6603	5854	7533	5055	6807	7128	6391	6807	5996
rna-FQ312003.1:3162526..3162599	FQ312003.1	3162526	3162599	+	74	1949	1231	1918	2400	1390	1285	980	2095	1350	1243	1455	1657	1842	1837	1820	1087	1278	1095	1754	1279	1789	1932	1582	1317	1779
rna-FQ312003.1:3162632..3162705	FQ312003.1	3162632	3162705	+	74	210	137	186	254	138	141	89	261	138	140	143	160	205	211	198	90	156	169	172	141	200	202	183	153	183
rna-FQ312003.1:3218145..3218215	FQ312003.1	3218145	3218215	-	71	314	269	255	478	301	249	284	319	372	223	323	406	366	413	412	401	254	303	301	228	248	285	238	306	221
rna-FQ312003.1:3296849..3296921	FQ312003.1	3296849	3296921	+	73	345	246	224	519	365	298	278	250	321	258	331	270	313	485	393	207	315	291	294	222	259	259	249	297	220
rna-FQ312003.1:3399709..3399781	FQ312003.1	3399709	3399781	+	73	66	71	50	65	62	65	82	53	102	57	73	57	72	107	112	82	81	69	65	65	44	58	60	52	46
rna-FQ312003.1:3479211..3479284	FQ312003.1	3479211	3479284	-	74	454	377	339	446	351	339	347	351	414	300	401	376	442	479	525	363	442	407	397	264	328	390	331	339	307
rna-FQ312003.1:3482460..3482543	FQ312003.1	3482460	3482543	-	84	571	379	523	630	385	407	270	433	362	599	499	425	426	513	379	228	420	486	581	396	535	626	448	431	482
rna-FQ312003.1:3588043..3588164	FQ312003.1	3588043	3588164	-	122	379	165	754	247	167	148	144	420	213	83	3503	1697	1195	304	266	260	226	152	835	520	1004	779	1868	1115	467
rna-FQ312003.1:3588205..3588277	FQ312003.1	3588205	3588277	-	73	58	34	61	53	28	30	36	52	51	43	154	69	76	53	35	44	53	41	62	52	70	55	76	64	42
rna-FQ312003.1:3588288..3588409	FQ312003.1	3588288	3588409	-	122	1002	582	2666	874	607	386	508	1763	687	278	9248	5672	4665	1090	828	856	702	303	3142	1936	3536	3042	6702	4571	1639
rna-FQ312003.1:3588585..3591591	FQ312003.1	3588585	3591591	-	3007	6799	5223	7933	5057	3823	3693	3960	5382	4566	6111	20512	5307	6726	3276	2990	3692	2143	2972	4822	4793	4414	4567	4920	3763	4075
rna-FQ312003.1:3591790..3591862	FQ312003.1	3591790	3591862	-	73	295	222	212	339	241	169	206	231	217	181	200	113	151	223	216	128	212	185	245	187	229	205	274	217	211
rna-FQ312003.1:3591938..3593479	FQ312003.1	3591938	3593479	-	1542	2844	2202	3583	1992	1469	1451	1700	2403	1962	3049	8570	2484	2987	1185	1040	1516	613	1206	1800	1822	1499	1593	1828	1281	1569
rna-FQ312003.1:3704178..3704291	FQ312003.1	3704178	3704291	-	114	28	25	37	36	27	34	20	44	35	35	44	30	29	41	33	66	30	45	39	33	33	30	22	34	23
rna-FQ312003.1:3841737..3841810	FQ312003.1	3841737	3841810	-	74	34	16	65	45	24	33	14	20	28	28	196	45	54	35	38	34	45	42	46	46	40	64	42	25	40
rna-FQ312003.1:3969890..3969980	FQ312003.1	3969890	3969980	+	91	40	53	56	122	65	60	61	56	93	71	56	70	53	97	77	46	65	90	92	60	74	83	66	79	74
rna-FQ312003.1:4121449..4122990	FQ312003.1	4121449	4122990	+	1542	7533	6707	9535	5671	4470	4158	4449	7370	5260	9397	20832	5057	8221	2821	2717	4036	1660	3090	5125	4241	3601	3566	4448	3614	3746
rna-FQ312003.1:4123066..4123138	FQ312003.1	4123066	4123138	+	73	1600	1154	1159	2298	1524	1381	1472	1407	1401	1260	932	732	1023	1642	1487	799	1335	1147	1706	1016	1402	1404	1383	1403	1292
rna-FQ312003.1:4123349..4126337	FQ312003.1	4123349	4126337	+	2989	8237	6716	9604	5425	4491	4080	4689	6283	5532	8676	26245	6730	8720	3826	3834	4496	2644	3734	6311	5752	5445	5601	5888	4715	4640
rna-FQ312003.1:4126519..4126640	FQ312003.1	4126519	4126640	+	122	387	190	1031	278	202	155	171	522	270	122	4126	2123	1714	457	334	261	313	155	1134	674	1358	1088	2664	1619	552
rna-FQ312003.1:4126828..4126901	FQ312003.1	4126828	4126901	+	74	157	126	219	273	96	95	129	164	125	128	342	175	160	130	128	75	103	89	167	151	199	184	190	142	169
rna-FQ312003.1:4126913..4126985	FQ312003.1	4126913	4126985	+	73	79	37	118	88	57	39	61	52	56	49	175	110	93	70	84	42	73	59	93	100	104	129	118	91	67
rna-FQ312003.1:4162453..4162526	FQ312003.1	4162453	4162526	+	74	4248	3528	2593	8300	4823	3722	5214	3235	4439	4558	2090	2399	2762	5283	4892	2451	5868	3518	4219	2874	3435	3227	3261	3778	2214
rna-FQ312003.1:4162584..4162656	FQ312003.1	4162584	4162656	+	73	4665	3991	3152	8308	4721	3900	4444	3858	4395	5003	2306	2551	2471	4853	3909	2166	4803	4237	5129	3310	4287	4166	4158	4429	3773
rna-FQ312003.1:4162680..4162763	FQ312003.1	4162680	4162763	+	84	4828	3888	3927	7888	3838	3820	3635	4305	3903	5470	3372	3283	2978	5926	4296	2139	4952	4899	6410	4093	5193	5654	5055	5419	4464
rna-FQ312003.1:4162809..4162882	FQ312003.1	4162809	4162882	+	74	372	224	347	418	257	228	228	242	231	381	376	335	265	364	336	165	382	424	476	384	517	594	445	372	308
rna-FQ312003.1:4217614..4219157	FQ312003.1	4217614	4219157	+	1544	1437	1026	2200	1018	818	740	894	1247	983	1652	5510	1480	1804	696	670	851	336	646	1101	1118	999	1041	1106	746	1043
rna-FQ312003.1:4219215..4219288	FQ312003.1	4219215	4219288	+	74	4626	3289	2703	7030	4124	3740	4189	3751	3475	3806	2357	1978	2779	4589	4027	2723	4281	3482	4176	2559	3281	3277	3235	3443	3277
rna-FQ312003.1:4219403..4219475	FQ312003.1	4219403	4219475	+	73	949	637	678	1302	886	659	838	726	633	810	643	512	572	874	856	471	869	644	910	648	808	933	717	634	633
rna-FQ312003.1:4219674..4222671	FQ312003.1	4219674	4222671	+	2998	8279	5489	8630	5690	4803	4180	4950	6471	5196	6043	23945	5405	7195	3230	3159	3947	2404	2919	5157	4830	4357	4551	4980	4150	4077
rna-FQ312003.1:4222740..4222861	FQ312003.1	4222740	4222861	+	122	229	135	690	195	132	100	139	389	177	73	3118	1679	1270	296	244	225	226	113	881	516	1083	804	1834	1163	453
rna-FQ312003.1:4372578..4374121	FQ312003.1	4372578	4374121	+	1544	911	675	1390	709	471	449	542	756	634	1088	3451	949	1198	438	366	505	243	472	681	722	648	656	759	507	675
rna-FQ312003.1:4374179..4374252	FQ312003.1	4374179	4374252	+	74	456	380	320	724	423	393	397	387	362	395	329	241	356	494	461	283	460	363	510	325	407	420	406	396	404
rna-FQ312003.1:4374367..4374439	FQ312003.1	4374367	4374439	+	73	254	158	214	345	187	164	196	180	166	221	299	183	178	233	203	98	237	253	266	196	253	273	268	204	193
rna-FQ312003.1:4374631..4377646	FQ312003.1	4374631	4377646	+	3016	3143	2179	3944	2010	1595	1633	1622	2365	2149	2510	10280	2741	3324	1502	1278	1624	922	1435	2120	2340	2198	2237	2532	1717	2014
rna-FQ312003.1:4377704..4377825	FQ312003.1	4377704	4377825	+	122	197	96	437	125	67	71	82	218	97	55	1931	955	746	193	135	123	138	56	512	336	688	535	1165	726	268
rna-FQ312003.1:4381377..4381449	FQ312003.1	4381377	4381449	+	73	3564	3108	3346	4035	3370	2890	2742	3145	2985	3607	2432	2990	2563	3574	3132	2222	3100	3077	4275	2936	3673	3779	3853	3574	2903
rna-FQ312003.1:4381461..4381542	FQ312003.1	4381461	4381542	+	82	7496	7005	6035	9581	6718	6832	6168	6421	6690	8637	5006	5422	4806	8158	6942	4775	7468	7336	8746	6082	6982	6836	6544	7350	6107
rna-FQ312003.1:4381662..4381733	FQ312003.1	4381662	4381733	+	72	2926	2618	2300	3184	2664	2743	2352	2429	2594	2886	1539	1931	1627	2600	2178	1604	2487	2466	3232	2209	2482	2742	2698	2721	2083
rna-FQ312003.1:4381743..4381815	FQ312003.1	4381743	4381815	+	73	10095	10220	8685	9851	8915	9254	7977	7941	9412	10552	6247	6511	5475	9415	7703	6146	8581	9448	11974	8964	9437	9308	9792	9570	8099
rna-FQ312003.1:4416018..4417559	FQ312003.1	4416018	4417559	+	1542	1133	773	1564	692	572	502	597	863	691	1235	4323	1056	1397	481	473	677	284	555	785	842	686	725	919	566	751
rna-FQ312003.1:4417635..4417707	FQ312003.1	4417635	4417707	+	73	76	53	58	115	68	52	41	49	54	46	63	52	50	62	48	32	38	56	71	64	74	77	70	47	53
rna-FQ312003.1:4417917..4420914	FQ312003.1	4417917	4420914	+	2998	3272	2147	4429	2180	1764	1608	1770	2399	1998	2653	11821	2912	3548	1514	1430	1891	916	1433	2431	2392	2361	2500	2465	1816	2087
rna-FQ312003.1:4421086..4421207	FQ312003.1	4421086	4421207	+	122	349	186	982	275	202	135	185	506	274	107	4111	2292	1838	489	294	292	319	153	1133	711	1424	1135	2624	1656	588
rna-FQ312003.1:4587163..4587235	FQ312003.1	4587163	4587235	-	73	31	30	30	55	23	14	28	19	46	30	71	28	30	35	22	19	27	16	41	34	43	47	26	24	35
rna-FQ312003.1:4617001..4617073	FQ312003.1	4617001	4617073	+	73	7551	6250	4842	11818	7462	6967	7115	6022	6467	8794	3077	3697	4335	9032	7618	3671	8846	7095	8262	5061	6801	6932	6343	6910	6208
rna-FQ312003.1:4617233..4617305	FQ312003.1	4617233	4617305	+	73	3941	3174	2763	5430	3469	3515	3442	2963	3137	4568	1742	1982	2410	4490	3723	1614	4283	4029	4132	2671	3538	3827	3339	3418	3283
rna-FQ312003.1:4617465..4617537	FQ312003.1	4617465	4617537	+	73	300	237	210	347	214	260	243	185	164	293	106	170	134	310	233	92	305	310	328	187	288	341	269	219	293
rna-FQ312003.1:4751594..4751675	FQ312003.1	4751594	4751675	+	82	45	34	50	74	45	30	32	31	38	25	100	50	30	78	59	37	39	51	60	50	42	48	38	43	35
rna-FQ312003.1:4831215..4831298	FQ312003.1	4831215	4831298	-	84	851	681	713	1237	638	608	609	738	731	933	686	596	696	1037	881	454	870	826	920	655	897	966	811	829	785
rna-FQ312003.1:4831333..4831416	FQ312003.1	4831333	4831416	-	84	1570	1127	1405	2464	1140	1163	1142	1314	1108	1620	1296	1080	1299	1605	1397	878	1401	1178	1496	1176	1483	1643	1418	1389	1301
